Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam
,,,,,,,,ETH,token,-0.000190120272632,-0.3159038450053312,
18/08/2023,22:30:30,mnt,0x9f4a511c5ca363bfcce6cfac183b2d74deedecdce1d933983fb9ca00cb49a037,https://explorer.mantle.xyz/tx/0x9f4a511c5ca363bfcce6cfac183b2d74deedecdce1d933983fb9ca00cb49a037,purchase,0xcb0bb5d835a47584fda53f57bb4193b28d2738db,,WDWGF,token,1,0,no
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
18/08/2023,22:17:17,base,0x5b015529d89014ddc94ee926fdd9dad9344e39d95f50a77333a400bba2fff8a3,https://basescan.org/tx/0x5b015529d89014ddc94ee926fdd9dad9344e39d95f50a77333a400bba2fff8a3,mint,0x3353fd84219212feb02a020938872f423507e0d2,,PePe,token,1,0,no
18/08/2023,22:35:35,base,0x2b52a7ed6f9b89ba739794e1a3c36e87ff9da0694b81c6956bb6423865fddfe8,https://basescan.org/tx/0x2b52a7ed6f9b89ba739794e1a3c36e87ff9da0694b81c6956bb6423865fddfe8,mint,0x3de4030ac1c41052ac27f4d316ab78111bcdb7bf,,BR,token,1,0,no
18/08/2023,22:33:33,base,0x8f30bd90e8a67ad24a3dc7026738735787f69ce6615a36fde21948ce109341c4,https://basescan.org/tx/0x8f30bd90e8a67ad24a3dc7026738735787f69ce6615a36fde21948ce109341c4,mint,0xb0b9f113a058bf87a32cbdea2a35c7f64453e2e0,,BP,token,1,0,no
,,,,,,,,BP,token,1,0,
18/08/2023,22:13:13,zora,0xff49dcd6e1e5668d3e73f2cfa46ff5fe6f4dc6566ab8731ffeafb61bc297a2a3,https://explorer.zora.energy/tx/0xff49dcd6e1e5668d3e73f2cfa46ff5fe6f4dc6566ab8731ffeafb61bc297a2a3,mint,0x3a24a55d4200751b8d8cf29af3fb0514283c562b,,ZESB,token,1,0,no
,,,,,,,,ZESB,token,1,0,
,,,,,,,,ZESB,token,1,0,
18/08/2023,10:43:43,matic,0x82e218404ea9ecef26586a3d9b721ca6d91f71f9826d16c293cd4b7ffefff25c,https://polygonscan.com/tx/0x82e218404ea9ecef26586a3d9b721ca6d91f71f9826d16c293cd4b7ffefff25c,claimCapped,0xf6d1b85af155229acd7b523601148585a1ff67c6,Galxe,OAT,token,1,0,no
17/08/2023,21:55:55,zora,0x7ec19f452b2de2c922fcf0f8fbe18d3fee8205418551b3e8934c97aedbce61fb,https://explorer.zora.energy/tx/0x7ec19f452b2de2c922fcf0f8fbe18d3fee8205418551b3e8934c97aedbce61fb,mint,0xbc2ca61440faf65a9868295efa5d5d87c55b9529,,SQR,token,1,0,no
,,,,,,,,SQR,token,1,0,
,,,,,,,,SQR,token,1,0,
,,,,,,,,SQR,token,1,0,
17/08/2023,20:33:33,base,0x2d75f48705871fc2036f95cfec5c6ba03588e013b321f34b9e1144ac1321f98e,https://basescan.org/tx/0x2d75f48705871fc2036f95cfec5c6ba03588e013b321f34b9e1144ac1321f98e,claim,0x9d9c0c4e764117fccd2bc3548f0e95c806e6f996,,$SUMMERKEVIN,token,1,0,no
,,,,,,,,ETH,token,-0.001,0,
17/08/2023,20:05:05,base,0x42febfadb642b7f7e9bb1752e6773b3947520ccb338ec2b9fd6e1f7e3b6887c4,https://basescan.org/tx/0x42febfadb642b7f7e9bb1752e6773b3947520ccb338ec2b9fd6e1f7e3b6887c4,mintWithRewards,0xb999ec5e57000540cbf821addbc69c37bf506f9f,,$APARAGON,token,1,0,no
,,,,,,,,ETH,token,-0.000777,0,
17/08/2023,20:51:51,base,0xf0dcb96f1975eb65d826b86e51658b3c80bdda7a27c0dafa51461565658459d2,https://basescan.org/tx/0xf0dcb96f1975eb65d826b86e51658b3c80bdda7a27c0dafa51461565658459d2,mintWithRewards,0x6ee6e88eb8ae143bb9b4b4b0a2269a080a45ef7e,,$CLMC,token,1,0,no
,,,,,,,,ETH,token,-0.000777,0,
17/08/2023,20:29:29,base,0x96590949a4dc30c648c74d42f75c9abac8e7fb6553bceef34a7b88762a2fcd0e,https://basescan.org/tx/0x96590949a4dc30c648c74d42f75c9abac8e7fb6553bceef34a7b88762a2fcd0e,mintWithRewards,0x0651996b6a6eebd1fc697e5735a2dca541bbe06b,,$HCMGT,token,1,0,no
,,,,,,,,ETH,token,-0.000777,0,
17/08/2023,18:55:55,zora,0xc884f07a6ab0acd666d5f689bbc1e4460795cf3920c8aea5dd7109dfd17951ce,https://explorer.zora.energy/tx/0xc884f07a6ab0acd666d5f689bbc1e4460795cf3920c8aea5dd7109dfd17951ce,mint,0xb096832a6ccd9053fe7a0ef075191fe342d1ab75,,CRYSTAL,token,1,0,no
,,,,,,,,CRYSTAL,token,1,0,
17/08/2023,18:06:06,matic,0xcd2614edfcd6e3d46facd162c9ea81ff82152a2c1657515a84535b6dac2594d9,https://polygonscan.com/tx/0xcd2614edfcd6e3d46facd162c9ea81ff82152a2c1657515a84535b6dac2594d9,mint,0x3146975bfccae722f802bc0cd540db1e6c178d1f,,SQUID,token,1,0,no
,,,,,,,,MATIC,token,-0.81,-0.46350711000000006,
17/08/2023,18:32:32,matic,0x8a03c4481458bab1b86ec5431fb4b0b5b3f750b409c49927d804ec2f3115b658,https://polygonscan.com/tx/0x8a03c4481458bab1b86ec5431fb4b0b5b3f750b409c49927d804ec2f3115b658,receive,0xc0604bd3f785e10cf6c8fe39b6244d27b91b6569,,MATIC,token,13.3,7.610672300000001,no
17/08/2023,18:19:19,zora,0xdf09a3521e139c271ea59600a02af4f521dac492924e0fb2b749770809b84076,https://explorer.zora.energy/tx/0xdf09a3521e139c271ea59600a02af4f521dac492924e0fb2b749770809b84076,mint,0x8974b96da5886ed636962f66a6456dc39118a140,,.ZOGGLES,token,1,0,no
,,,,,,,,.ZOGGLES,token,1,0,
,,,,,,,,.ZOGGLES,token,1,0,
17/08/2023,18:51:51,zora,0xb69a2ebbac798dcbbb05cd4443d2f580284b9b80ad011b9a46a83b26162fe9a2,https://explorer.zora.energy/tx/0xb69a2ebbac798dcbbb05cd4443d2f580284b9b80ad011b9a46a83b26162fe9a2,mint,0x96772d2a5944e947d9a2297cb7604f07005223a6,,OGD,token,1,0,no
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
